tag,name,note,profile_url,address,date_joined
20JJJ2CCRU,King Thing,Founder,https://www.thingelstad.com/,poap.thingelstad.eth,2026-02-04T04:00:00Z
UL2V9QRG0,raquaza,Founder,https://tyler.thingelstad.com/,tyler.thingelstad.eth,2026-02-04T04:00:00Z
U8RYG9Y2U,King Levy,Founder,,0x7881958b392cd412bde979ad9d33d2c9282d4f3d,2026-02-04T04:00:00Z
VPY0Y2209,JaxikoLane,,,,2026-02-05T16:00:00Z
P82C298G9,Jonah the beast,,,,2026-02-05T20:00:00Z
20R8QRLYLP,Chanco,,,,2026-02-07T10:00:00Z
V0CRYP2GG,pokemon,,,,2026-02-09T10:00:00Z
VPQ0QRPYG,neanderthal,,,,2026-02-12T14:00:00Z
20299Y8PQQ,Fan,,,,2026-02-13T00:00:00Z
VGGV0P8YY,CHEBO,,,,2026-02-14T06:00:00Z
20LQGJQ9QJ,sk2lsesgsos,,,,2026-02-14T16:00:00Z
UURJP208Q,Finn,,,,2026-02-14T22:00:00Z
200UL8LYUJ,Lucky Red Panda,,,,2026-02-15T02:00:00Z
R202JLGVY,ITZ_WARRIOR_,,,,2026-02-15T10:00:00Z
VY9VQVUGU,Nugget,,,,2026-02-20T02:33:19Z
R9P8RVLG9,thn,,,,2026-02-23T13:40:36Z
RCCY80VG2,Ram,,,,2026-02-26T12:35:18Z
C920YGLC2,Vijay,,,,2026-03-03T12:01:33Z
